weight,weights,rel_weights,center_of_mass,normalized_center_of_mass,inertia,normalized_inertia
392,"{'top_left': np.int64(39), 'top_right': np.int64(29), 'bottom_left': np.int64(162), 'bottom_right': np.int64(162)}","{'top_left': np.float64(0.07738095238095238), 'top_right': np.float64(0.057539682539682536), 'bottom_left': np.float64(0.32142857142857145), 'bottom_right': np.float64(0.32142857142857145)}","(np.float64(16.772959183673468), np.float64(38.71173469387755))","(np.float64(0.4792274052478134), np.float64(0.7038497217068646))","(np.float64(95.2459847459392), np.float64(71.23161573302791))","(np.float64(0.030371806360312243), np.float64(0.05496266646066968))"
474,"{'top_left': np.int64(77), 'top_right': np.int64(44), 'bottom_left': np.int64(204), 'bottom_right': np.int64(149)}","{'top_left': np.float64(0.16176470588235295), 'top_right': np.float64(0.09243697478991597), 'bottom_left': np.float64(0.42857142857142855), 'bottom_right': np.float64(0.3130252100840336)}","(np.float64(14.672995780590718), np.float64(37.949367088607595))","(np.float64(0.4446362357754763), np.float64(0.689988492520138))","(np.float64(139.85819580195482), np.float64(74.95003026580498))","(np.float64(0.044597638967460086), np.float64(0.06483566631990051))"
518,"{'top_left': np.int64(77), 'top_right': np.int64(60), 'bottom_left': np.int64(204), 'bottom_right': np.int64(177)}","{'top_left': np.float64(0.16176470588235295), 'top_right': np.float64(0.12605042016806722), 'bottom_left': np.float64(0.42857142857142855), 'bottom_right': np.float64(0.37184873949579833)}","(np.float64(15.637065637065637), np.float64(36.94980694980695))","(np.float64(0.4599136952078129), np.float64(0.6718146718146718))","(np.float64(131.49941115964282), np.float64(78.68295046287324))","(np.float64(0.041932210191212634), np.float64(0.06423097996969244))"
261,"{'top_left': np.int64(65), 'top_right': np.int64(56), 'bottom_left': np.int64(140), 'bottom_right': np.int64(0)}","{'top_left': np.float64(0.16581632653061223), 'top_right': np.float64(0.14285714285714285), 'bottom_left': np.float64(0.35714285714285715), 'bottom_right': np.float64(0.0)}","(np.float64(9.494252873563218), np.float64(32.195402298850574))","(np.float64(0.3390804597701149), np.float64(0.5853709508881922))","(np.float64(137.3602853745541), np.float64(39.87448804333465))","(np.float64(0.0438011114077022), np.float64(0.04741318435592705))"
561,"{'top_left': np.int64(75), 'top_right': np.int64(97), 'bottom_left': np.int64(189), 'bottom_right': np.int64(200)}","{'top_left': np.float64(0.13786764705882354), 'top_right': np.float64(0.17830882352941177), 'bottom_left': np.float64(0.3474264705882353), 'bottom_right': np.float64(0.36764705882352944)}","(np.float64(17.49554367201426), np.float64(41.27094474153298))","(np.float64(0.5145748138827724), np.float64(0.6448585115864528))","(np.float64(191.43461033740996), np.float64(99.70096053329776))","(np.float64(0.04530996694376567), np.float64(0.08138853921085532))"
445,"{'top_left': np.int64(77), 'top_right': np.int64(56), 'bottom_left': np.int64(204), 'bottom_right': np.int64(108)}","{'top_left': np.float64(0.16176470588235295), 'top_right': np.float64(0.11764705882352941), 'bottom_left': np.float64(0.42857142857142855), 'bottom_right': np.float64(0.226890756302521)}","(np.float64(13.81123595505618), np.float64(37.05842696629213))","(np.float64(0.4062128222075347), np.float64(0.6737895812053115))","(np.float64(158.28872112107055), np.float64(67.50144678702183))","(np.float64(0.05047471974523934), np.float64(0.0551032218669566))"
589,"{'top_left': np.int64(72), 'top_right': np.int64(71), 'bottom_left': np.int64(223), 'bottom_right': np.int64(223)}","{'top_left': np.float64(0.10714285714285714), 'top_right': np.float64(0.1056547619047619), 'bottom_left': np.float64(0.3318452380952381), 'bottom_right': np.float64(0.3318452380952381)}","(np.float64(23.443123938879456), np.float64(36.93718166383701))","(np.float64(0.4987898710399884), np.float64(0.6715851211606729))","(np.float64(112.15734417922236), np.float64(156.80703676053048))","(np.float64(0.03576445924082346), np.float64(0.06805860970509135))"
362,"{'top_left': np.int64(52), 'top_right': np.int64(61), 'bottom_left': np.int64(75), 'bottom_right': np.int64(174)}","{'top_left': np.float64(0.12380952380952381), 'top_right': np.float64(0.14523809523809525), 'bottom_left': np.float64(0.17857142857142858), 'bottom_right': np.float64(0.4142857142857143)}","(np.float64(17.26243093922652), np.float64(36.748618784530386))","(np.float64(0.5754143646408839), np.float64(0.6681567051732797))","(np.float64(142.98929367235434), np.float64(54.28195873141845))","(np.float64(0.04559607578837829), np.float64(0.05648486860709516))"
450,"{'top_left': np.int64(36), 'top_right': np.int64(65), 'bottom_left': np.int64(195), 'bottom_right': np.int64(154)}","{'top_left': np.float64(0.06766917293233082), 'top_right': np.float64(0.12218045112781954), 'bottom_left': np.float64(0.36654135338345867), 'bottom_right': np.float64(0.2894736842105263)}","(np.float64(17.955555555555556), np.float64(37.18888888888889))","(np.float64(0.4852852852852853), np.float64(0.6761616161616162))","(np.float64(105.09543209876546), np.float64(116.2869135802469))","(np.float64(0.03351257401108593), np.float64(0.0805311035874286))"
504,"{'top_left': np.int64(62), 'top_right': np.int64(93), 'bottom_left': np.int64(195), 'bottom_right': np.int64(154)}","{'top_left': np.float64(0.11654135338345864), 'top_right': np.float64(0.17481203007518797), 'bottom_left': np.float64(0.36654135338345867), 'bottom_right': np.float64(0.2894736842105263)}","(np.float64(18.047619047619047), np.float64(34.66269841269841))","(np.float64(0.4877734877734878), np.float64(0.6302308802308803))","(np.float64(147.26718002015622), np.float64(106.3310657596372))","(np.float64(0.046960197710509), np.float64(0.07363647213271274))"
